구별,동별,소계,남자,여자
종로구,사직동,"9,630","4,335","5,295"
종로구,삼청동,"2,741","1,312","1,429"
종로구,부암동,"9,702","4,654","5,048"
종로구,평창동,"18,272","8,518","9,754"
종로구,무악동,"8,245","3,823","4,422"
종로구,교남동,"10,148","4,671","5,477"
종로구,가회동,"4,152","1,915","2,237"
종로구,종로1.2.3.4가동,"8,867","5,094","3,773"
종로구,종로5.6가동,"5,464","2,894","2,570"
종로구,이화동,"7,697","3,613","4,084"
종로구,창신1동,"5,640","3,006","2,634"
종로구,창신2동,"8,984","4,597","4,387"
종로구,창신3동,"6,668","3,302","3,366"
종로구,숭인1동,"6,126","2,913","3,213"
종로구,숭인2동,"10,266","5,048","5,218"
종로구,청운효자동,"12,100","5,595","6,505"
종로구,혜화동,"18,982","8,728","10,254"
중구,소공동,"3,423","1,739","1,684"
중구,회현동,"5,394","2,793","2,601"
중구,명동,"3,726","1,654","2,072"
중구,필동,"4,630","2,365","2,265"
중구,장충동,"5,301","2,711","2,590"
중구,광희동,"6,326","3,194","3,132"
중구,을지로동,"1,932","1,148",784
중구,신당5동,"10,640","5,156","5,484"
중구,황학동,"13,481","6,364","7,117"
중구,중림동,"12,283","6,118","6,165"
중구,신당동,"9,116","4,406","4,710"
중구,다산동,"14,193","6,860","7,333"
중구,약수동,"16,847","7,814","9,033"
중구,청구동,"13,769","6,544","7,225"
중구,동화동,"10,389","5,003","5,386"
용산구,후암동,"17,220","8,408","8,812"
용산구,용산2가동,"10,779","5,270","5,509"
용산구,남영동,"7,811","4,700","3,111"
용산구,원효로2동,"13,839","6,513","7,326"
용산구,효창동,"10,179","4,831","5,348"
용산구,용문동,"11,932","5,694","6,238"
용산구,이촌1동,"26,447","12,435","14,012"
용산구,이촌2동,"8,310","3,883","4,427"
용산구,이태원1동,"8,068","4,200","3,868"
용산구,이태원2동,"10,576","4,966","5,610"
용산구,서빙고동,"13,879","6,659","7,220"
용산구,보광동,"14,610","7,463","7,147"
용산구,청파동,"20,081","9,279","10,802"
용산구,원효로1동,"16,618","7,900","8,718"
용산구,한강로동,"23,286","11,158","12,128"
용산구,한남동,"22,883","11,212","11,671"
성동구,왕십리2동,"16,730","8,061","8,669"
성동구,마장동,"22,975","11,267","11,708"
성동구,사근동,"13,627","6,840","6,787"
성동구,행당1동,"14,238","6,834","7,404"
성동구,행당2동,"23,273","10,886","12,387"
성동구,응봉동,"15,348","7,313","8,035"
성동구,금호1가동,"15,196","7,227","7,969"
성동구,금호4가동,"14,419","6,852","7,567"
성동구,성수1가1동,"16,792","8,393","8,399"
성동구,성수1가2동,"12,686","6,214","6,472"
성동구,성수2가1동,"16,138","8,405","7,733"
성동구,성수2가3동,"10,926","5,509","5,417"
성동구,송정동,"10,854","5,711","5,143"
성동구,용답동,"12,474","6,389","6,085"
성동구,왕십리도선동,"26,959","12,736","14,223"
성동구,금호2.3가동,"22,801","10,820","11,981"
성동구,옥수동,"26,173","12,205","13,968"
광진구,화양동,"26,567","12,266","14,301"
광진구,군자동,"21,341","10,530","10,811"
광진구,중곡1동,"15,761","7,603","8,158"
광진구,중곡2동,"21,650","10,158","11,492"
광진구,중곡3동,"16,301","8,058","8,243"
광진구,중곡4동,"28,806","14,048","14,758"
광진구,능동,"11,602","5,342","6,260"
광진구,구의1동,"23,481","11,168","12,313"
광진구,구의2동,"26,891","12,943","13,948"
광진구,구의3동,"28,756","13,585","15,171"
광진구,광장동,"34,719","16,796","17,923"
광진구,자양1동,"23,019","11,111","11,908"
광진구,자양2동,"24,768","11,980","12,788"
광진구,자양3동,"28,172","13,453","14,719"
광진구,자양4동,"21,276","10,484","10,792"
동대문구,회기동,"12,924","5,938","6,986"
동대문구,휘경1동,"16,110","7,349","8,761"
동대문구,휘경2동,"24,857","12,330","12,527"
동대문구,청량리동,"19,216","9,540","9,676"
동대문구,용신동,"33,984","16,850","17,134"
동대문구,제기동,"26,598","13,339","13,259"
동대문구,전농1동,"29,553","14,753","14,800"
동대문구,전농2동,"18,747","8,985","9,762"
동대문구,답십리2동,"28,376","13,803","14,573"
동대문구,장안1동,"38,712","19,103","19,609"
동대문구,장안2동,"32,761","16,289","16,472"
동대문구,이문1동,"21,054","10,123","10,931"
동대문구,이문2동,"20,364","9,809","10,555"
동대문구,답십리1동,"29,336","14,107","15,229"
중랑구,면목2동,"24,449","12,161","12,288"
중랑구,면목4동,"19,215","9,534","9,681"
중랑구,면목5동,"14,959","7,506","7,453"
중랑구,면목7동,"22,027","11,029","10,998"
중랑구,상봉1동,"24,017","11,676","12,341"
중랑구,상봉2동,"20,558","9,891","10,667"
중랑구,중화1동,"19,669","9,632","10,037"
중랑구,중화2동,"25,280","12,946","12,334"
중랑구,묵1동,"34,602","16,640","17,962"
중랑구,묵2동,"18,841","9,223","9,618"
중랑구,망우3동,"16,539","8,293","8,246"
중랑구,신내1동,"38,522","18,646","19,876"
중랑구,신내2동,"20,311","9,643","10,668"
중랑구,면목본동,"34,129","16,836","17,293"
중랑구,면목3.8동,"24,989","12,359","12,630"
중랑구,망우본동,"35,493","17,608","17,885"
성북구,돈암1동,"14,640","6,826","7,814"
성북구,돈암2동,"23,817","11,276","12,541"
성북구,안암동,"16,809","8,218","8,591"
성북구,보문동,"15,753","7,544","8,209"
성북구,정릉1동,"18,290","8,768","9,522"
성북구,정릉2동,"23,130","11,147","11,983"
성북구,정릉3동,"16,308","8,014","8,294"
성북구,정릉4동,"25,135","12,022","13,113"
성북구,길음1동,"35,128","16,660","18,468"
성북구,길음2동,"20,779","10,005","10,774"
성북구,월곡1동,"26,408","12,688","13,720"
성북구,월곡2동,"19,914","9,574","10,340"
성북구,장위1동,"24,344","11,880","12,464"
성북구,장위2동,"13,937","6,866","7,071"
성북구,장위3동,"15,868","7,777","8,091"
성북구,성북동,"17,023","7,907","9,116"
성북구,삼선동,"23,428","11,084","12,344"
성북구,동선동,"16,143","6,707","9,436"
성북구,종암동,"40,053","19,655","20,398"
성북구,석관동,"35,773","17,659","18,114"
강북구,번1동,"18,791","9,411","9,380"
강북구,번2동,"15,725","7,583","8,142"
강북구,번3동,"16,751","7,823","8,928"
강북구,수유1동,"20,740","10,194","10,546"
강북구,수유2동,"21,323","10,134","11,189"
강북구,수유3동,"23,516","11,617","11,899"
강북구,삼양동,"23,611","11,779","11,832"
강북구,미아동,"21,898","10,460","11,438"
강북구,송중동,"29,818","14,321","15,497"
강북구,송천동,"26,497","13,089","13,408"
강북구,삼각산동,"31,175","14,961","16,214"
강북구,우이동,"20,578","9,903","10,675"
강북구,인수동,"30,401","14,659","15,742"
도봉구,쌍문1동,"21,618","10,326","11,292"
도봉구,쌍문2동,"18,824","8,968","9,856"
도봉구,쌍문3동,"16,871","8,112","8,759"
도봉구,쌍문4동,"18,555","8,746","9,809"
도봉구,방학1동,"28,813","14,299","14,514"
도봉구,방학2동,"19,760","9,971","9,789"
도봉구,방학3동,"26,952","13,054","13,898"
도봉구,창1동,"24,731","11,737","12,994"
도봉구,창2동,"29,214","14,187","15,027"
도봉구,창3동,"13,863","6,928","6,935"
도봉구,창4동,"26,503","12,734","13,769"
도봉구,창5동,"24,579","11,719","12,860"
도봉구,도봉1동,"21,032","10,589","10,443"
도봉구,도봉2동,"26,785","13,070","13,715"
노원구,월계1동,"22,153","11,453","10,700"
노원구,월계2동,"26,521","12,738","13,783"
노원구,월계3동,"29,883","14,234","15,649"
노원구,공릉2동,"42,389","20,637","21,752"
노원구,하계1동,"27,706","13,275","14,431"
노원구,하계2동,"21,855","10,411","11,444"
노원구,중계본동,"23,875","11,611","12,264"
노원구,중계1동,"26,733","12,999","13,734"
노원구,중계4동,"19,850","9,535","10,315"
노원구,상계1동,"38,030","18,377","19,653"
노원구,상계2동,"20,015","9,864","10,151"
노원구,상계5동,"23,971","11,598","12,373"
노원구,상계8동,"22,491","10,751","11,740"
노원구,상계9동,"20,346","9,571","10,775"
노원구,상계10동,"18,617","8,615","10,002"
노원구,상계3.4동,"26,033","12,939","13,094"
노원구,상계6.7동,"32,563","15,027","17,536"
노원구,중계2.3동,"34,026","15,592","18,434"
노원구,공릉1동,"37,388","18,190","19,198"
은평구,녹번동,"37,109","17,545","19,564"
은평구,불광1동,"38,695","18,218","20,477"
은평구,갈현1동,"21,768","10,631","11,137"
은평구,갈현2동,"28,374","13,431","14,943"
은평구,구산동,"32,338","15,798","16,540"
은평구,대조동,"27,167","12,589","14,578"
은평구,응암1동,"33,303","15,750","17,553"
은평구,응암2동,"28,258","13,694","14,564"
은평구,신사1동,"27,117","12,993","14,124"
은평구,신사2동,"20,059","9,981","10,078"
은평구,증산동,"15,085","7,350","7,735"
은평구,수색동,"13,246","6,501","6,745"
은평구,진관동,"55,605","26,067","29,538"
은평구,불광2동,"27,645","13,334","14,311"
은평구,응암3동,"24,608","11,931","12,677"
은평구,역촌동,"45,636","21,359","24,277"
서대문구,천연동,"17,222","8,179","9,043"
서대문구,홍제1동,"23,723","11,093","12,630"
서대문구,홍제3동,"17,490","8,400","9,090"
서대문구,홍제2동,"13,697","6,427","7,270"
서대문구,홍은1동,"22,895","11,036","11,859"
서대문구,홍은2동,"27,089","13,004","14,085"
서대문구,남가좌1동,"15,610","7,458","8,152"
서대문구,남가좌2동,"30,758","14,678","16,080"
서대문구,북가좌1동,"18,007","8,651","9,356"
서대문구,북가좌2동,"31,671","15,449","16,222"
서대문구,충현동,"20,722","9,978","10,744"
서대문구,북아현동,"16,123","7,726","8,397"
서대문구,신촌동,"24,469","9,915","14,554"
서대문구,연희동,"37,599","17,811","19,788"
마포구,용강동,"21,943","10,397","11,546"
마포구,대흥동,"15,976","7,459","8,517"
마포구,염리동,"17,742","8,347","9,395"
마포구,신수동,"22,833","11,093","11,740"
마포구,서교동,"26,912","11,993","14,919"
마포구,합정동,"17,631","8,140","9,491"
마포구,망원1동,"20,258","9,467","10,791"
마포구,망원2동,"18,723","8,749","9,974"
마포구,연남동,"16,002","7,453","8,549"
마포구,성산1동,"19,235","9,044","10,191"
마포구,성산2동,"39,830","17,891","21,939"
마포구,상암동,"31,356","14,876","16,480"
마포구,도화동,"21,269","10,147","11,122"
마포구,서강동,"25,657","12,156","13,501"
마포구,공덕동,"37,726","17,718","20,008"
마포구,아현동,"25,536","11,956","13,580"
양천구,목1동,"30,696","14,776","15,920"
양천구,목2동,"30,056","14,623","15,433"
양천구,목3동,"22,021","10,483","11,538"
양천구,목4동,"25,441","12,412","13,029"
양천구,신월1동,"20,668","10,559","10,109"
양천구,신월2동,"20,714","10,083","10,631"
양천구,신월3동,"15,277","8,065","7,212"
양천구,신월4동,"17,897","8,723","9,174"
