"동별(1)",동별(2),동별(3),2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",종로구,소계,73766,153684,74018,79666,144275,69911,74364,9409,4107,5302
"합계",종로구,사직동,4679,9630,4335,5295,9370,4189,5181,260,146,114
"합계",종로구,삼청동,1227,2741,1312,1429,2441,1168,1273,300,144,156
"합계",종로구,부암동,4242,9702,4654,5048,9488,4530,4958,214,124,90
"합계",종로구,평창동,7493,18272,8518,9754,18087,8427,9660,185,91,94
"합계",종로구,무악동,3071,8245,3823,4422,8210,3809,4401,35,14,21
"합계",종로구,교남동,4444,10148,4671,5477,9989,4588,5401,159,83,76
"합계",종로구,가회동,1987,4152,1915,2237,4045,1863,2182,107,52,55
"합계",종로구,종로1.2.3.4가동,5291,8867,5094,3773,7225,4277,2948,1642,817,825
"합계",종로구,종로5.6가동,3407,5464,2894,2570,5080,2692,2388,384,202,182
"합계",종로구,이화동,4350,7697,3613,4084,7226,3433,3793,471,180,291
"합계",종로구,창신1동,2873,5640,3006,2634,4908,2638,2270,732,368,364
"합계",종로구,창신2동,4050,8984,4597,4387,7866,4058,3808,1118,539,579
"합계",종로구,창신3동,2792,6668,3302,3366,6513,3208,3305,155,94,61
"합계",종로구,숭인1동,2984,6126,2913,3213,5843,2806,3037,283,107,176
"합계",종로구,숭인2동,6363,10266,5048,5218,9697,4853,4844,569,195,374
"합계",종로구,청운효자동,5236,12100,5595,6505,11904,5491,6413,196,104,92
"합계",종로구,혜화동,9277,18982,8728,10254,16383,7881,8502,2599,847,1752
"합계",중구,소계,63767,131450,63869,67581,122173,59448,62725,9277,4421,4856
"합계",중구,소공동,1312,3423,1739,1684,2252,1077,1175,1171,662,509
"합계",중구,회현동,2715,5394,2793,2601,4742,2462,2280,652,331,321
"합계",중구,명동,1530,3726,1654,2072,2849,1236,1613,877,418,459
"합계",중구,필동,2493,4630,2365,2265,4043,2078,1965,587,287,300
"합계",중구,장충동,2806,5301,2711,2590,4608,2392,2216,693,319,374
"합계",중구,광희동,3405,6326,3194,3132,5244,2663,2581,1082,531,551
"합계",중구,을지로동,1354,1932,1148,784,1746,1062,684,186,86,100
"합계",중구,신당5동,5369,10640,5156,5484,10303,5016,5287,337,140,197
"합계",중구,황학동,7186,13481,6364,7117,12623,6005,6618,858,359,499
"합계",중구,중림동,5673,12283,6118,6165,11964,5958,6006,319,160,159
"합계",중구,신당동,4784,9116,4406,4710,7698,3790,3908,1418,616,802
"합계",중구,다산동,6916,14193,6860,7333,13723,6662,7061,470,198,272
"합계",중구,약수동,7842,16847,7814,9033,16638,7705,8933,209,109,100
"합계",중구,청구동,6309,13769,6544,7225,13521,6423,7098,248,121,127
"합계",중구,동화동,4073,10389,5003,5386,10219,4919,5300,170,84,86
"합계",용산구,소계,111207,236518,114571,121947,222169,106735,115434,14349,7836,6513
"합계",용산구,후암동,8472,17220,8408,8812,16765,8185,8580,455,223,232
"합계",용산구,용산2가동,5243,10779,5270,5509,9399,4544,4855,1380,726,654
"합계",용산구,남영동,5194,7811,4700,3111,7351,4466,2885,460,234,226
"합계",용산구,원효로2동,6048,13839,6513,7326,13719,6469,7250,120,44,76
"합계",용산구,효창동,4407,10179,4831,5348,10059,4781,5278,120,50,70
"합계",용산구,용문동,5400,11932,5694,6238,11818,5647,6171,114,47,67
"합계",용산구,이촌1동,9541,26447,12435,14012,25750,12047,13703,697,388,309
"합계",용산구,이촌2동,3685,8310,3883,4427,8242,3856,4386,68,27,41
"합계",용산구,이태원1동,3604,8068,4200,3868,6332,3087,3245,1736,1113,623
"합계",용산구,이태원2동,4923,10576,4966,5610,8947,4103,4844,1629,863,766
"합계",용산구,서빙고동,5301,13879,6659,7220,12997,6212,6785,882,447,435
"합계",용산구,보광동,7388,14610,7463,7147,13337,6619,6718,1273,844,429
"합계",용산구,청파동,11173,20081,9279,10802,19459,9063,10396,622,216,406
"합계",용산구,원효로1동,8214,16618,7900,8718,16003,7577,8426,615,323,292
"합계",용산구,한강로동,11685,23286,11158,12128,21662,10299,11363,1624,859,765
"합계",용산구,한남동,10929,22883,11212,11671,20329,9780,10549,2554,1432,1122
"합계",성동구,소계,134533,291609,141662,149947,285073,138847,146226,6536,2815,3721
"합계",성동구,왕십리2동,7408,16730,8061,8669,16397,7917,8480,333,144,189
"합계",성동구,마장동,11076,22975,11267,11708,22375,11042,11333,600,225,375
"합계",성동구,사근동,8140,13627,6840,6787,12062,6255,5807,1565,585,980
"합계",성동구,행당1동,6513,14238,6834,7404,13923,6693,7230,315,141,174
"합계",성동구,행당2동,9221,23273,10886,12387,23180,10851,12329,93,35,58
"합계",성동구,응봉동,6041,15348,7313,8035,15299,7290,8009,49,23,26
"합계",성동구,금호1가동,6521,15196,7227,7969,15119,7194,7925,77,33,44
"합계",성동구,금호4가동,6355,14419,6852,7567,14293,6789,7504,126,63,63
"합계",성동구,성수1가1동,7785,16792,8393,8399,16493,8225,8268,299,168,131
"합계",성동구,성수1가2동,6105,12686,6214,6472,12471,6115,6356,215,99,116
"합계",성동구,성수2가1동,8136,16138,8405,7733,15675,8194,7481,463,211,252
"합계",성동구,성수2가3동,5570,10926,5509,5417,10707,5380,5327,219,129,90
"합계",성동구,송정동,5613,10854,5711,5143,10479,5526,4953,375,185,190
"합계",성동구,용답동,7072,12474,6389,6085,11568,6025,5543,906,364,542
"합계",성동구,왕십리도선동,12017,26959,12736,14223,26491,12541,13950,468,195,273
"합계",성동구,금호2.3가동,10091,22801,10820,11981,22631,10748,11883,170,72,98
"합계",성동구,옥수동,10869,26173,12205,13968,25910,12062,13848,263,143,120
"합계",광진구,소계,169483,353110,169525,183585,340707,164346,176361,12403,5179,7224
"합계",광진구,화양동,18301,26567,12266,14301,23687,11311,12376,2880,955,1925
"합계",광진구,군자동,11373,21341,10530,10811,19529,9665,9864,1812,865,947
"합계",광진구,중곡1동,8370,15761,7603,8158,15401,7453,7948,360,150,210
"합계",광진구,중곡2동,10679,21650,10158,11492,21334,10045,11289,316,113,203
"합계",광진구,중곡3동,8499,16301,8058,8243,16071,7972,8099,230,86,144
"합계",광진구,중곡4동,13185,28806,14048,14758,28442,13916,14526,364,132,232
"합계",광진구,능동,6437,11602,5342,6260,11285,5199,6086,317,143,174
"합계",광진구,구의1동,12778,23481,11168,12313,22899,10900,11999,582,268,314
"합계",광진구,구의2동,11602,26891,12943,13948,26423,12746,13677,468,197,271
"합계",광진구,구의3동,12174,28756,13585,15171,28523,13487,15036,233,98,135
"합계",광진구,광장동,11907,34719,16796,17923,34545,16721,17824,174,75,99
