busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-01,2022,3,1,1123053,5110,1,0,19,1
2022-03-01,2022,3,1,1123080,2788,1,0,8,1
2022-03-01,2022,3,1,1123071,2897,1,0,3,1
2022-03-01,2022,3,1,1123065,6590,1,0,20,1
2022-03-01,2022,3,1,1123051,6802,1,0,12,1
2022-03-01,2022,3,1,1123076,7442,1,0,13,1
2022-03-01,2022,3,1,1123068,1756,1,0,1,1
2022-03-01,2022,3,1,1123066,4998,1,0,11,1
2022-03-01,2022,3,1,1123064,16898,1,0,128,1
2022-03-01,2022,3,1,1123063,5737,1,0,23,1
2022-03-01,2022,3,1,1123060,7244,1,0,27,1
2022-03-01,2022,3,1,1123058,9561,1,0,72,1
2022-03-01,2022,3,1,1123052,8330,1,0,58,1
2022-03-01,2022,3,1,1123067,3403,1,0,13,1
2022-03-01,2022,3,1,1123059,4313,1,0,24,1
2022-03-01,2022,3,1,1123079,7749,1,0,38,1
2022-03-01,2022,3,1,1123078,8674,1,0,36,1
2022-03-01,2022,3,1,1123077,11923,1,0,34,1
2022-03-01,2022,3,1,1123075,6598,1,0,27,1
2022-03-01,2022,3,1,1123074,1694,1,0,3,1
2022-03-01,2022,3,1,1123073,1777,1,0,0,1
2022-03-01,2022,3,1,1123072,3627,1,0,17,1
2022-03-02,2022,3,2,1123053,13272,2,0,34,0
2022-03-02,2022,3,2,1123080,6367,2,0,14,0
2022-03-02,2022,3,2,1123071,6886,2,0,0,0
2022-03-02,2022,3,2,1123065,16902,2,0,44,0
2022-03-02,2022,3,2,1123051,12459,2,0,32,0
2022-03-02,2022,3,2,1123076,16613,2,0,15,0
2022-03-02,2022,3,2,1123068,4391,2,0,0,0
2022-03-02,2022,3,2,1123066,12507,2,0,38,0
2022-03-02,2022,3,2,1123064,38892,2,0,312,0
2022-03-02,2022,3,2,1123063,11956,2,0,46,0
2022-03-02,2022,3,2,1123060,12467,2,0,56,0
2022-03-02,2022,3,2,1123058,21721,2,0,74,0
2022-03-02,2022,3,2,1123052,18655,2,0,123,0
2022-03-02,2022,3,2,1123067,8006,2,0,14,0
2022-03-02,2022,3,2,1123059,12519,2,0,43,0
2022-03-02,2022,3,2,1123079,17492,2,0,60,0
2022-03-02,2022,3,2,1123078,19456,2,0,52,0
2022-03-02,2022,3,2,1123077,20989,2,0,81,0
2022-03-02,2022,3,2,1123075,13869,2,0,32,0
2022-03-02,2022,3,2,1123074,3642,2,0,4,0
2022-03-02,2022,3,2,1123073,3779,2,0,2,0
2022-03-02,2022,3,2,1123072,8144,2,0,11,0
2022-03-03,2022,3,3,1123079,16959,3,0,57,0
2022-03-03,2022,3,3,1123078,19414,3,0,68,0
2022-03-03,2022,3,3,1123053,13087,3,0,33,0
2022-03-03,2022,3,3,1123080,6193,3,0,10,0
