busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,gu_id
2022-03-01,2022,3,1,1124082,5589,1,0,16,1,11240
2022-03-01,2022,3,1,1124081,5604,1,0,16,1,11240
2022-03-01,2022,3,1,1124065,4604,1,0,31,1,11240
2022-03-01,2022,3,1,1124064,4181,1,0,19,1,11240
2022-03-01,2022,3,1,1124053,1405,1,0,5,1,11240
2022-03-01,2022,3,1,1124077,9764,1,0,56,1,11240
2022-03-01,2022,3,1,1124069,4485,1,0,41,1,11240
2022-03-01,2022,3,1,1124063,6502,1,0,42,1,11240
2022-03-01,2022,3,1,1124059,2538,1,0,13,1,11240
2022-03-01,2022,3,1,1124055,2051,1,0,0,1,11240
2022-03-01,2022,3,1,1124051,1889,1,0,2,1,11240
2022-03-01,2022,3,1,1124068,1995,1,0,10,1,11240
2022-03-01,2022,3,1,1124080,10324,1,0,56,1,11240
2022-03-01,2022,3,1,1124079,1842,1,0,9,1,11240
2022-03-01,2022,3,1,1124078,1928,1,0,8,1,11240
2022-03-01,2022,3,1,1124075,953,1,0,0,1,11240
2022-03-01,2022,3,1,1124071,5921,1,0,35,1,11240
2022-03-01,2022,3,1,1124067,3372,1,0,11,1,11240
2022-03-01,2022,3,1,1124066,4456,1,0,50,1,11240
2022-03-01,2022,3,1,1124062,840,1,0,10,1,11240
2022-03-01,2022,3,1,1124061,4848,1,0,30,1,11240
2022-03-01,2022,3,1,1124060,5322,1,0,6,1,11240
2022-03-01,2022,3,1,1124058,3894,1,0,22,1,11240
2022-03-01,2022,3,1,1124057,1753,1,0,3,1,11240
2022-03-01,2022,3,1,1124056,3695,1,0,11,1,11240
2022-03-01,2022,3,1,1124054,1514,1,0,4,1,11240
2022-03-01,2022,3,1,1124052,3187,1,0,0,1,11240
2022-03-02,2022,3,2,1124082,11914,2,0,33,0,11240
2022-03-02,2022,3,2,1124081,9864,2,0,28,0,11240
2022-03-02,2022,3,2,1124065,9015,2,0,44,0,11240
2022-03-02,2022,3,2,1124064,7429,2,0,28,0,11240
2022-03-02,2022,3,2,1124053,2715,2,0,6,0,11240
2022-03-02,2022,3,2,1124077,14351,2,0,57,0,11240
2022-03-02,2022,3,2,1124069,8771,2,0,68,0,11240
2022-03-02,2022,3,2,1124063,12087,2,0,61,0,11240
2022-03-02,2022,3,2,1124059,5095,2,0,21,0,11240
2022-03-02,2022,3,2,1124055,3559,2,0,2,0,11240
2022-03-02,2022,3,2,1124051,3524,2,0,0,0,11240
2022-03-02,2022,3,2,1124068,4465,2,0,15,0,11240
2022-03-02,2022,3,2,1124080,16459,2,0,71,0,11240
2022-03-02,2022,3,2,1124079,3906,2,0,9,0,11240
2022-03-02,2022,3,2,1124078,4486,2,0,14,0,11240
2022-03-02,2022,3,2,1124075,1881,2,0,5,0,11240
2022-03-02,2022,3,2,1124071,9938,2,0,46,0,11240
2022-03-02,2022,3,2,1124067,6473,2,0,13,0,11240
2022-03-02,2022,3,2,1124066,7835,2,0,71,0,11240
2022-03-02,2022,3,2,1124062,2199,2,0,8,0,11240
2022-03-02,2022,3,2,1124061,8421,2,0,47,0,11240
2022-03-02,2022,3,2,1124060,10374,2,0,11,0,11240
2022-03-02,2022,3,2,1124058,6435,2,0,30,0,11240
2022-03-02,2022,3,2,1124057,3267,2,0,3,0,11240
2022-03-02,2022,3,2,1124056,6336,2,0,7,0,11240
2022-03-02,2022,3,2,1124054,3056,2,0,4,0,11240
2022-03-02,2022,3,2,1124052,6814,2,0,2,0,11240
2022-03-03,2022,3,3,1124080,15991,3,0,100,0,11240
2022-03-03,2022,3,3,1124079,3727,3,0,20,0,11240
2022-03-03,2022,3,3,1124078,4353,3,0,26,0,11240
2022-03-03,2022,3,3,1124075,1842,3,0,6,0,11240
2022-03-03,2022,3,3,1124071,9462,3,0,41,0,11240
2022-03-03,2022,3,3,1124067,6192,3,0,20,0,11240
2022-03-03,2022,3,3,1124066,7613,3,0,52,0,11240
2022-03-03,2022,3,3,1124062,2184,3,0,7,0,11240
2022-03-03,2022,3,3,1124061,8088,3,0,52,0,11240
2022-03-03,2022,3,3,1124060,10173,3,0,13,0,11240
2022-03-03,2022,3,3,1124058,6332,3,0,28,0,11240
2022-03-03,2022,3,3,1124057,3187,3,0,13,0,11240
2022-03-03,2022,3,3,1124056,6144,3,0,4,0,11240
2022-03-03,2022,3,3,1124054,2937,3,0,6,0,11240
2022-03-03,2022,3,3,1124052,6862,3,0,2,0,11240
2022-03-03,2022,3,3,1124082,11923,3,0,30,0,11240
2022-03-03,2022,3,3,1124081,9687,3,0,26,0,11240
2022-03-03,2022,3,3,1124065,8835,3,0,39,0,11240
2022-03-03,2022,3,3,1124064,7327,3,0,36,0,11240
2022-03-03,2022,3,3,1124053,2641,3,0,4,0,11240
2022-03-03,2022,3,3,1124077,14033,3,0,90,0,11240
2022-03-03,2022,3,3,1124069,8601,3,0,60,0,11240
2022-03-03,2022,3,3,1124063,11757,3,0,48,0,11240
2022-03-03,2022,3,3,1124059,4971,3,0,20,0,11240
2022-03-03,2022,3,3,1124055,3319,3,0,2,0,11240
2022-03-03,2022,3,3,1124051,3531,3,0,0,0,11240
2022-03-03,2022,3,3,1124068,4380,3,0,15,0,11240
2022-03-04,2022,3,4,1124082,12000,4,0,24,0,11240
2022-03-04,2022,3,4,1124081,10021,4,0,21,0,11240
2022-03-04,2022,3,4,1124065,9121,4,0,44,0,11240
2022-03-04,2022,3,4,1124064,7492,4,0,36,0,11240
2022-03-04,2022,3,4,1124053,2795,4,0,10,0,11240
2022-03-04,2022,3,4,1124077,14399,4,0,109,0,11240
2022-03-04,2022,3,4,1124069,8684,4,0,82,0,11240
2022-03-04,2022,3,4,1124063,12134,4,0,53,0,11240
2022-03-04,2022,3,4,1124059,4883,4,0,20,0,11240
2022-03-04,2022,3,4,1124055,3420,4,0,3,0,11240
2022-03-04,2022,3,4,1124051,3485,4,0,1,0,11240
2022-03-04,2022,3,4,1124068,4347,4,0,18,0,11240
2022-03-04,2022,3,4,1124080,16535,4,0,118,0,11240
2022-03-04,2022,3,4,1124079,3777,4,0,16,0,11240
2022-03-04,2022,3,4,1124078,4318,4,0,39,0,11240
2022-03-04,2022,3,4,1124075,1874,4,0,5,0,11240
2022-03-04,2022,3,4,1124071,10024,4,0,46,0,11240
2022-03-04,2022,3,4,1124067,6247,4,0,20,0,11240
2022-03-04,2022,3,4,1124066,7732,4,0,62,0,11240
2022-03-04,2022,3,4,1124062,2143,4,0,7,0,11240
2022-03-04,2022,3,4,1124061,8378,4,0,39,0,11240
2022-03-04,2022,3,4,1124060,10352,4,0,12,0,11240
2022-03-04,2022,3,4,1124058,6529,4,0,30,0,11240
2022-03-04,2022,3,4,1124057,3332,4,0,11,0,11240
2022-03-04,2022,3,4,1124056,6357,4,0,14,0,11240
2022-03-04,2022,3,4,1124054,2866,4,0,8,0,11240
2022-03-04,2022,3,4,1124052,7015,4,0,4,0,11240
2022-03-05,2022,3,5,1124053,1797,5,0,9,1,11240
2022-03-05,2022,3,5,1124077,11431,5,0,74,1,11240
2022-03-05,2022,3,5,1124069,5316,5,0,74,1,11240
2022-03-05,2022,3,5,1124063,8068,5,0,73,1,11240
2022-03-05,2022,3,5,1124059,3304,5,0,24,1,11240
2022-03-05,2022,3,5,1124055,2538,5,0,4,1,11240
2022-03-05,2022,3,5,1124051,2321,5,0,1,1,11240
2022-03-05,2022,3,5,1124068,2578,5,0,14,1,11240
2022-03-05,2022,3,5,1124080,12603,5,0,98,1,11240
2022-03-05,2022,3,5,1124079,2658,5,0,27,1,11240
2022-03-05,2022,3,5,1124078,2448,5,0,25,1,11240
2022-03-05,2022,3,5,1124075,1269,5,0,2,1,11240
2022-03-05,2022,3,5,1124071,7685,5,0,51,1,11240
2022-03-05,2022,3,5,1124067,4648,5,0,21,1,11240
2022-03-05,2022,3,5,1124066,5365,5,0,61,1,11240
2022-03-05,2022,3,5,1124062,1268,5,0,8,1,11240
2022-03-05,2022,3,5,1124061,6412,5,0,47,1,11240
2022-03-05,2022,3,5,1124060,7362,5,0,14,1,11240
2022-03-05,2022,3,5,1124058,5039,5,0,41,1,11240
2022-03-05,2022,3,5,1124057,2550,5,0,6,1,11240
2022-03-05,2022,3,5,1124056,4730,5,0,12,1,11240
2022-03-05,2022,3,5,1124054,1973,5,0,13,1,11240
2022-03-05,2022,3,5,1124052,3971,5,0,4,1,11240
2022-03-05,2022,3,5,1124082,7312,5,0,25,1,11240
2022-03-05,2022,3,5,1124081,6899,5,0,22,1,11240
2022-03-05,2022,3,5,1124065,6015,5,0,56,1,11240
2022-03-05,2022,3,5,1124064,5288,5,0,15,1,11240
2022-03-06,2022,3,6,1124068,1884,6,0,11,1,11240
2022-03-06,2022,3,6,1124080,9452,6,0,46,1,11240
2022-03-06,2022,3,6,1124079,1777,6,0,10,1,11240
2022-03-06,2022,3,6,1124078,1860,6,0,16,1,11240
2022-03-06,2022,3,6,1124075,847,6,0,0,1,11240
2022-03-06,2022,3,6,1124071,5361,6,0,40,1,11240
2022-03-06,2022,3,6,1124067,3241,6,0,13,1,11240
2022-03-06,2022,3,6,1124066,3518,6,0,37,1,11240
2022-03-06,2022,3,6,1124062,849,6,0,8,1,11240
2022-03-06,2022,3,6,1124061,4617,6,0,20,1,11240
2022-03-06,2022,3,6,1124060,5247,6,0,7,1,11240
2022-03-06,2022,3,6,1124058,3552,6,0,32,1,11240
2022-03-06,2022,3,6,1124057,1720,6,0,2,1,11240
2022-03-06,2022,3,6,1124056,3400,6,0,3,1,11240
2022-03-06,2022,3,6,1124054,1286,6,0,9,1,11240
2022-03-06,2022,3,6,1124052,2929,6,0,1,1,11240
2022-03-06,2022,3,6,1124082,5131,6,0,19,1,11240
