busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,동
2022-03-01,2022,3,1,1102073,786,1,0,5,1,동화동
2022-03-01,2022,3,1,1102068,2367,1,0,15,1,중림동
2022-03-01,2022,3,1,1102059,7777,1,0,94,1,광희동
2022-03-01,2022,3,1,1102054,17543,1,0,161,1,회현동
2022-03-01,2022,3,1,1102052,15399,1,0,54,1,소공동
2022-03-01,2022,3,1,1102058,2035,1,0,7,1,장충동
2022-03-01,2022,3,1,1102057,1515,1,0,2,1,필동
2022-03-01,2022,3,1,1102072,1412,1,0,4,1,청구동
2022-03-01,2022,3,1,1102071,1979,1,0,7,1,약수동
2022-03-01,2022,3,1,1102070,1866,1,0,7,1,다산동
2022-03-01,2022,3,1,1102069,2585,1,0,30,1,신당동
2022-03-01,2022,3,1,1102067,2326,1,0,2,1,황학동
2022-03-01,2022,3,1,1102065,3546,1,0,12,1,신당5동
2022-03-01,2022,3,1,1102060,2182,1,0,13,1,을지로동
2022-03-01,2022,3,1,1102055,9767,1,0,27,1,명동
2022-03-02,2022,3,2,1102073,1191,2,0,8,0,동화동
2022-03-02,2022,3,2,1102068,4456,2,0,8,0,중림동
2022-03-02,2022,3,2,1102059,10584,2,0,110,0,광희동
2022-03-02,2022,3,2,1102052,26992,2,0,74,0,소공동
2022-03-02,2022,3,2,1102054,26029,2,0,170,0,회현동
2022-03-02,2022,3,2,1102058,2681,2,0,13,0,장충동
2022-03-02,2022,3,2,1102057,3240,2,0,7,0,필동
2022-03-02,2022,3,2,1102072,2495,2,0,9,0,청구동
2022-03-02,2022,3,2,1102071,3747,2,0,12,0,약수동
2022-03-02,2022,3,2,1102070,3594,2,0,5,0,다산동
2022-03-02,2022,3,2,1102069,4199,2,0,30,0,신당동
2022-03-02,2022,3,2,1102067,3498,2,0,5,0,황학동
2022-03-02,2022,3,2,1102065,5598,2,0,11,0,신당5동
2022-03-02,2022,3,2,1102060,3784,2,0,23,0,을지로동
2022-03-02,2022,3,2,1102055,18991,2,0,51,0,명동
2022-03-03,2022,3,3,1102055,18718,3,0,75,0,명동
2022-03-03,2022,3,3,1102058,2691,3,0,4,0,장충동
2022-03-03,2022,3,3,1102057,3203,3,0,11,0,필동
2022-03-03,2022,3,3,1102072,2389,3,0,11,0,청구동
2022-03-03,2022,3,3,1102071,3548,3,0,8,0,약수동
2022-03-03,2022,3,3,1102070,3355,3,0,4,0,다산동
2022-03-03,2022,3,3,1102069,4080,3,0,32,0,신당동
2022-03-03,2022,3,3,1102067,3385,3,0,8,0,황학동
2022-03-03,2022,3,3,1102065,5475,3,0,22,0,신당5동
2022-03-03,2022,3,3,1102060,3722,3,0,20,0,을지로동
2022-03-03,2022,3,3,1102052,26795,3,0,91,0,소공동
2022-03-03,2022,3,3,1102054,25969,3,0,190,0,회현동
2022-03-03,2022,3,3,1102073,1109,3,0,9,0,동화동
2022-03-03,2022,3,3,1102068,4266,3,0,12,0,중림동
2022-03-03,2022,3,3,1102059,10772,3,0,131,0,광희동
2022-03-04,2022,3,4,1102073,1190,4,0,11,0,동화동
2022-03-04,2022,3,4,1102068,4501,4,0,7,0,중림동
2022-03-04,2022,3,4,1102059,10860,4,0,144,0,광희동
2022-03-04,2022,3,4,1102054,26837,4,0,202,0,회현동
2022-03-04,2022,3,4,1102052,26669,4,0,66,0,소공동
2022-03-04,2022,3,4,1102058,2658,4,0,9,0,장충동
2022-03-04,2022,3,4,1102057,3123,4,0,7,0,필동
2022-03-04,2022,3,4,1102055,18925,4,0,79,0,명동
2022-03-04,2022,3,4,1102072,2406,4,0,6,0,청구동
2022-03-04,2022,3,4,1102071,3725,4,0,15,0,약수동
2022-03-04,2022,3,4,1102070,3479,4,0,7,0,다산동
2022-03-04,2022,3,4,1102069,4078,4,0,40,0,신당동
2022-03-04,2022,3,4,1102067,3427,4,0,6,0,황학동
2022-03-04,2022,3,4,1102065,5578,4,0,24,0,신당5동
2022-03-04,2022,3,4,1102060,3832,4,0,24,0,을지로동
2022-03-05,2022,3,5,1102073,864,5,0,14,1,동화동
2022-03-05,2022,3,5,1102068,2845,5,0,18,1,중림동
2022-03-05,2022,3,5,1102059,8279,5,0,109,1,광희동
2022-03-05,2022,3,5,1102054,19114,5,0,206,1,회현동
2022-03-05,2022,3,5,1102052,16822,5,0,121,1,소공동
2022-03-05,2022,3,5,1102058,2388,5,0,9,1,장충동
2022-03-05,2022,3,5,1102057,1978,5,0,19,1,필동
2022-03-05,2022,3,5,1102055,11467,5,0,132,1,명동
2022-03-05,2022,3,5,1102071,2697,5,0,14,1,약수동
2022-03-05,2022,3,5,1102070,2351,5,0,7,1,다산동
2022-03-05,2022,3,5,1102069,2450,5,0,10,1,신당동
2022-03-05,2022,3,5,1102067,2618,5,0,10,1,황학동
2022-03-05,2022,3,5,1102065,4197,5,0,37,1,신당5동
2022-03-05,2022,3,5,1102060,2543,5,0,16,1,을지로동
2022-03-05,2022,3,5,1102072,1627,5,0,11,1,청구동
2022-03-06,2022,3,6,1102073,580,6,0,4,1,동화동
2022-03-06,2022,3,6,1102068,2151,6,0,7,1,중림동
2022-03-06,2022,3,6,1102059,6295,6,0,69,1,광희동
2022-03-06,2022,3,6,1102054,13768,6,0,151,1,회현동
2022-03-06,2022,3,6,1102052,11479,6,0,75,1,소공동
2022-03-06,2022,3,6,1102070,1642,6,0,8,1,다산동
2022-03-06,2022,3,6,1102069,1536,6,0,17,1,신당동
2022-03-06,2022,3,6,1102067,2048,6,0,4,1,황학동
2022-03-06,2022,3,6,1102065,3061,6,0,8,1,신당5동
2022-03-06,2022,3,6,1102060,1389,6,0,13,1,을지로동
2022-03-06,2022,3,6,1102071,1700,6,0,14,1,약수동
2022-03-06,2022,3,6,1102072,1226,6,0,7,1,청구동
2022-03-06,2022,3,6,1102058,2280,6,0,6,1,장충동
2022-03-06,2022,3,6,1102055,8642,6,0,60,1,명동
2022-03-06,2022,3,6,1102057,1533,6,0,4,1,필동
2022-03-07,2022,3,7,1102073,1158,0,0,9,0,동화동
2022-03-07,2022,3,7,1102068,4266,0,0,19,0,중림동
2022-03-07,2022,3,7,1102059,10519,0,0,146,0,광희동
2022-03-07,2022,3,7,1102054,25262,0,0,189,0,회현동
2022-03-07,2022,3,7,1102052,25060,0,0,95,0,소공동
2022-03-07,2022,3,7,1102058,2699,0,0,13,0,장충동
2022-03-07,2022,3,7,1102057,3234,0,0,16,0,필동
2022-03-07,2022,3,7,1102055,18681,0,0,117,0,명동
2022-03-07,2022,3,7,1102072,2350,0,0,21,0,청구동
2022-03-07,2022,3,7,1102071,3576,0,0,14,0,약수동
2022-03-07,2022,3,7,1102070,3372,0,0,6,0,다산동
2022-03-07,2022,3,7,1102069,4111,0,0,20,0,신당동
2022-03-07,2022,3,7,1102065,5225,0,0,24,0,신당5동
2022-03-07,2022,3,7,1102060,3592,0,0,30,0,을지로동
2022-03-07,2022,3,7,1102067,3229,0,0,8,0,황학동
2022-03-08,2022,3,8,1102073,1188,1,0,14,0,동화동
2022-03-08,2022,3,8,1102068,4309,1,0,16,0,중림동
2022-03-08,2022,3,8,1102059,11140,1,0,201,0,광희동
2022-03-08,2022,3,8,1102054,26482,1,0,346,0,회현동
2022-03-08,2022,3,8,1102052,27901,1,0,210,0,소공동
2022-03-08,2022,3,8,1102058,2681,1,0,24,0,장충동
2022-03-08,2022,3,8,1102057,3284,1,0,28,0,필동
2022-03-08,2022,3,8,1102055,20090,1,0,225,0,명동
2022-03-08,2022,3,8,1102072,2412,1,0,44,0,청구동
2022-03-08,2022,3,8,1102071,3588,1,0,25,0,약수동
2022-03-08,2022,3,8,1102070,3551,1,0,17,0,다산동
2022-03-08,2022,3,8,1102069,4257,1,0,51,0,신당동
2022-03-08,2022,3,8,1102065,5481,1,0,19,0,신당5동
2022-03-08,2022,3,8,1102060,3793,1,0,53,0,을지로동
2022-03-08,2022,3,8,1102067,3442,1,0,24,0,황학동
2022-03-09,2022,3,9,1102073,836,2,0,11,1,동화동
2022-03-09,2022,3,9,1102068,2408,2,0,16,1,중림동
2022-03-09,2022,3,9,1102054,17663,2,0,186,1,회현동
2022-03-09,2022,3,9,1102059,8955,2,0,148,1,광희동
2022-03-09,2022,3,9,1102052,14951,2,0,90,1,소공동
2022-03-09,2022,3,9,1102058,2655,2,0,5,1,장충동
2022-03-09,2022,3,9,1102057,2059,2,0,11,1,필동
2022-03-09,2022,3,9,1102072,1530,2,0,24,1,청구동
2022-03-09,2022,3,9,1102071,2235,2,0,8,1,약수동
2022-03-09,2022,3,9,1102070,2078,2,0,6,1,다산동
2022-03-09,2022,3,9,1102069,2598,2,0,21,1,신당동
2022-03-09,2022,3,9,1102067,2565,2,0,14,1,황학동
2022-03-09,2022,3,9,1102065,3845,2,0,15,1,신당5동
2022-03-09,2022,3,9,1102060,2421,2,0,24,1,을지로동
2022-03-09,2022,3,9,1102055,10354,2,0,93,1,명동
2022-03-10,2022,3,10,1102073,1154,3,0,14,0,동화동
2022-03-10,2022,3,10,1102068,4410,3,0,9,0,중림동
2022-03-10,2022,3,10,1102059,11073,3,0,173,0,광희동
2022-03-10,2022,3,10,1102054,25439,3,0,206,0,회현동
2022-03-10,2022,3,10,1102052,26145,3,0,149,0,소공동
2022-03-10,2022,3,10,1102058,2824,3,0,8,0,장충동
2022-03-10,2022,3,10,1102057,3190,3,0,16,0,필동
2022-03-10,2022,3,10,1102055,18896,3,0,129,0,명동
2022-03-10,2022,3,10,1102072,2301,3,0,29,0,청구동
2022-03-10,2022,3,10,1102071,3632,3,0,17,0,약수동
2022-03-10,2022,3,10,1102070,3425,3,0,10,0,다산동
2022-03-10,2022,3,10,1102069,4026,3,0,45,0,신당동
2022-03-10,2022,3,10,1102065,5351,3,0,27,0,신당5동
2022-03-10,2022,3,10,1102060,3701,3,0,37,0,을지로동
2022-03-10,2022,3,10,1102067,3248,3,0,14,0,황학동
2022-03-11,2022,3,11,1102073,1152,4,0,23,0,동화동
2022-03-11,2022,3,11,1102068,4280,4,0,31,0,중림동
2022-03-11,2022,3,11,1102054,27505,4,0,395,0,회현동
2022-03-11,2022,3,11,1102059,11624,4,0,237,0,광희동
2022-03-11,2022,3,11,1102052,26667,4,0,213,0,소공동
2022-03-11,2022,3,11,1102058,3017,4,0,15,0,장충동
2022-03-11,2022,3,11,1102057,3293,4,0,34,0,필동
2022-03-11,2022,3,11,1102072,2379,4,0,34,0,청구동
2022-03-11,2022,3,11,1102071,3579,4,0,12,0,약수동
2022-03-11,2022,3,11,1102070,3526,4,0,20,0,다산동
2022-03-11,2022,3,11,1102069,4027,4,0,61,0,신당동
2022-03-11,2022,3,11,1102067,3343,4,0,15,0,황학동
2022-03-11,2022,3,11,1102065,5579,4,0,38,0,신당5동
2022-03-11,2022,3,11,1102060,3888,4,0,66,0,을지로동
2022-03-11,2022,3,11,1102055,19121,4,0,213,0,명동
2022-03-12,2022,3,12,1102073,858,5,0,11,1,동화동
2022-03-12,2022,3,12,1102068,2967,5,0,25,1,중림동
2022-03-12,2022,3,12,1102054,19771,5,0,188,1,회현동
2022-03-12,2022,3,12,1102059,8906,5,0,115,1,광희동
2022-03-12,2022,3,12,1102052,17437,5,0,96,1,소공동
2022-03-12,2022,3,12,1102058,2807,5,0,7,1,장충동
2022-03-12,2022,3,12,1102057,2206,5,0,11,1,필동
2022-03-12,2022,3,12,1102072,1684,5,0,16,1,청구동
2022-03-12,2022,3,12,1102071,2602,5,0,12,1,약수동
2022-03-12,2022,3,12,1102070,2508,5,0,16,1,다산동
2022-03-12,2022,3,12,1102069,2385,5,0,9,1,신당동
2022-03-12,2022,3,12,1102067,2769,5,0,12,1,황학동
2022-03-12,2022,3,12,1102065,4319,5,0,22,1,신당5동
2022-03-12,2022,3,12,1102060,2522,5,0,47,1,을지로동
2022-03-12,2022,3,12,1102055,12139,5,0,123,1,명동
2022-03-13,2022,3,13,1102073,539,6,0,2,1,동화동
2022-03-13,2022,3,13,1102068,1948,6,0,3,1,중림동
2022-03-13,2022,3,13,1102054,12115,6,0,133,1,회현동
2022-03-13,2022,3,13,1102059,5479,6,0,87,1,광희동
2022-03-13,2022,3,13,1102052,10225,6,0,64,1,소공동
2022-03-13,2022,3,13,1102058,1604,6,0,4,1,장충동
2022-03-13,2022,3,13,1102057,1185,6,0,5,1,필동
2022-03-13,2022,3,13,1102072,1101,6,0,6,1,청구동
2022-03-13,2022,3,13,1102071,1599,6,0,8,1,약수동
2022-03-13,2022,3,13,1102070,1463,6,0,9,1,다산동
2022-03-13,2022,3,13,1102069,1194,6,0,19,1,신당동
2022-03-13,2022,3,13,1102067,1533,6,0,2,1,황학동
2022-03-13,2022,3,13,1102065,2688,6,0,15,1,신당5동
2022-03-13,2022,3,13,1102060,1347,6,0,20,1,을지로동
2022-03-13,2022,3,13,1102055,7855,6,0,44,1,명동
2022-03-14,2022,3,14,1102073,539,0,0,2,0,동화동
2022-03-14,2022,3,14,1102068,1948,0,0,3,0,중림동
2022-03-14,2022,3,14,1102059,5479,0,0,87,0,광희동
2022-03-14,2022,3,14,1102054,12115,0,0,133,0,회현동
2022-03-14,2022,3,14,1102052,10225,0,0,64,0,소공동
2022-03-14,2022,3,14,1102058,1604,0,0,4,0,장충동
2022-03-14,2022,3,14,1102057,1185,0,0,5,0,필동
2022-03-14,2022,3,14,1102072,1101,0,0,6,0,청구동
2022-03-14,2022,3,14,1102071,1599,0,0,8,0,약수동
2022-03-14,2022,3,14,1102070,1463,0,0,9,0,다산동
2022-03-14,2022,3,14,1102069,1194,0,0,19,0,신당동
2022-03-14,2022,3,14,1102067,1533,0,0,2,0,황학동
2022-03-14,2022,3,14,1102065,2688,0,0,15,0,신당5동
2022-03-14,2022,3,14,1102060,1347,0,0,20,0,을지로동
2022-03-14,2022,3,14,1102055,7855,0,0,44,0,명동
2022-03-15,2022,3,15,1102073,1149,1,0,6,0,동화동
2022-03-15,2022,3,15,1102068,4282,1,0,16,0,중림동
2022-03-15,2022,3,15,1102059,10437,1,0,144,0,광희동
2022-03-15,2022,3,15,1102052,26635,1,0,127,0,소공동
2022-03-15,2022,3,15,1102054,25713,1,0,243,0,회현동
2022-03-15,2022,3,15,1102058,2704,1,0,16,0,장충동
2022-03-15,2022,3,15,1102057,3062,1,0,21,0,필동
2022-03-15,2022,3,15,1102072,2277,1,0,14,0,청구동
2022-03-15,2022,3,15,1102071,3545,1,0,13,0,약수동
2022-03-15,2022,3,15,1102070,3343,1,0,18,0,다산동
2022-03-15,2022,3,15,1102069,4057,1,0,42,0,신당동
2022-03-15,2022,3,15,1102067,3226,1,0,12,0,황학동
2022-03-15,2022,3,15,1102065,5228,1,0,20,0,신당5동
2022-03-15,2022,3,15,1102060,3697,1,0,28,0,을지로동
2022-03-15,2022,3,15,1102055,18725,1,0,126,0,명동
2022-03-16,2022,3,16,1102073,1152,2,0,13,0,동화동
2022-03-16,2022,3,16,1102068,4154,2,0,13,0,중림동
2022-03-16,2022,3,16,1102059,11076,2,0,158,0,광희동
2022-03-16,2022,3,16,1102054,25824,2,0,268,0,회현동
2022-03-16,2022,3,16,1102052,26378,2,0,127,0,소공동
2022-03-16,2022,3,16,1102057,3291,2,0,27,0,필동
2022-03-16,2022,3,16,1102055,18954,2,0,157,0,명동
2022-03-16,2022,3,16,1102058,2839,2,0,15,0,장충동
2022-03-16,2022,3,16,1102072,2352,2,0,29,0,청구동
2022-03-16,2022,3,16,1102071,3446,2,0,19,0,약수동
2022-03-16,2022,3,16,1102070,3455,2,0,13,0,다산동
2022-03-16,2022,3,16,1102069,3966,2,0,46,0,신당동
2022-03-16,2022,3,16,1102067,3255,2,0,16,0,황학동
2022-03-16,2022,3,16,1102065,5218,2,0,25,0,신당5동
2022-03-16,2022,3,16,1102060,3661,2,0,31,0,을지로동
2022-03-17,2022,3,17,1102073,1153,3,0,9,0,동화동
2022-03-17,2022,3,17,1102068,4205,3,0,15,0,중림동
2022-03-17,2022,3,17,1102059,10500,3,0,186,0,광희동
2022-03-17,2022,3,17,1102054,25023,3,0,271,0,회현동
2022-03-17,2022,3,17,1102052,25597,3,0,136,0,소공동
2022-03-17,2022,3,17,1102058,2783,3,0,10,0,장충동
2022-03-17,2022,3,17,1102057,3099,3,0,9,0,필동
2022-03-17,2022,3,17,1102055,18364,3,0,111,0,명동
2022-03-17,2022,3,17,1102072,2325,3,0,23,0,청구동
2022-03-17,2022,3,17,1102071,3573,3,0,17,0,약수동
2022-03-17,2022,3,17,1102070,3327,3,0,13,0,다산동
2022-03-17,2022,3,17,1102069,4053,3,0,36,0,신당동
2022-03-17,2022,3,17,1102067,3243,3,0,19,0,황학동
2022-03-17,2022,3,17,1102065,5284,3,0,15,0,신당5동
2022-03-17,2022,3,17,1102060,3623,3,0,34,0,을지로동
2022-03-18,2022,3,18,1102073,1194,4,0,19,0,동화동
2022-03-18,2022,3,18,1102068,4342,4,0,21,0,중림동
2022-03-18,2022,3,18,1102054,26150,4,0,343,0,회현동
2022-03-18,2022,3,18,1102059,11076,4,0,236,0,광희동
2022-03-18,2022,3,18,1102052,25568,4,0,167,0,소공동
2022-03-18,2022,3,18,1102058,2823,4,0,15,0,장충동
2022-03-18,2022,3,18,1102057,3253,4,0,24,0,필동
2022-03-18,2022,3,18,1102072,2279,4,0,27,0,청구동
2022-03-18,2022,3,18,1102071,3534,4,0,34,0,약수동
2022-03-18,2022,3,18,1102070,3453,4,0,17,0,다산동
2022-03-18,2022,3,18,1102069,4042,4,0,41,0,신당동
2022-03-18,2022,3,18,1102067,3341,4,0,19,0,황학동
2022-03-18,2022,3,18,1102065,5383,4,0,30,0,신당5동
2022-03-18,2022,3,18,1102060,3771,4,0,54,0,을지로동
2022-03-18,2022,3,18,1102055,18362,4,0,204,0,명동
2022-03-19,2022,3,19,1102068,2641,5,0,14,1,중림동
2022-03-19,2022,3,19,1102073,771,5,0,14,1,동화동
2022-03-19,2022,3,19,1102059,7750,5,0,112,1,광희동
2022-03-19,2022,3,19,1102054,16996,5,0,231,1,회현동
2022-03-19,2022,3,19,1102052,14450,5,0,114,1,소공동
2022-03-19,2022,3,19,1102058,2592,5,0,7,1,장충동
2022-03-19,2022,3,19,1102057,1730,5,0,14,1,필동
